No.,Atlet,Olimpiade,Medali,Cabang Olahraga,Kelas
1,"Lilies Handayani, Nurfitriyana Saiman, Kusuma Wardhani",Olimpiade Seoul 1988,Perak,Panahan,Beregu Putri
2,Susi Susanti,Olimpiade Barcelona 1992,Emas,Bulu Tangkis,Tunggal Putri
3,Alan Budi Kusuma,Olimpiade Barcelona 1992,Emas,Bulu Tangkis,Tunggal Putra
4,Ardy Winata,Olimpiade Barcelona 1992,Perak,Bulu Tangkis,Tunggal Putra
5,"Eddy Hartono, Rudy Gunawan",Olimpiade Barcelona 1992,Perak,Bulu Tangkis,Ganda Putra
6,Hermawan Susanto,Olimpiade Barcelona 1992,Perunggu,Bulu Tangkis,Tunggal Putra
7,"Rexy Mainaky, Ricky Subagja",Olimpiade Atlanta 1996,Emas,Bulu Tangkis,Ganda Putra
8,Mia Audina,Olimpiade Atlanta 1996,Perak,Bulu Tangkis,Tunggal Putri
9,"Antonius Ariantho, Denny Kantono",Olimpiade Atlanta 1996,Perunggu,Bulu Tangkis,Ganda Putra
10,Susi Susanti,Olimpiade Atlanta 1996,Perunggu,Bulu Tangkis,Tunggal Putri
11,"Tony Gunawan, Candra Wijaya",Olimpiade Sydney 2000,Emas,Bulu Tangkis,Ganda Putra
12,"Tri Kusharjanto, Minarti Timur",Olimpiade Sydney 2000,Perak,Bulu Tangkis,Ganda Campuran
13,Hendrawan,Olimpiade Sydney 2000,Perak,Bulu Tangkis,Tunggal Putra
14,Raema Lisa Rumbewas,Olimpiade Sydney 2000,Perak,Angkat Besi,48 kg Putri
15,Sri Indriyani,Olimpiade Sydney 2000,Perunggu,Angkat Besi,48 kg Putri
16,Winarni Binti Slamet,Olimpiade Sydney 2000,Perunggu,Angkat Besi,53 kg Putri
17,Taufik Hidayat,Olimpiade Athena 2004,Emas,Bulu Tangkis,Tunggal Putra
18,Raema Lisa Rumbewas,Olimpiade Athena 2004,Perak,Angkat Besi,53 kg Putri
19,Sony Dwi Kuncoro,Olimpiade Athena 2004,Perunggu,Bulu Tangkis,Tunggal Putra
20,"Eng Hian, Flendy Limpele",Olimpiade Athena 2004,Perunggu,Bulu Tangkis,Ganda Putra
21,"Hendra Setiawan, Markis Kido",Olimpiade Beijing 2008,Emas,Bulu Tangkis,Ganda Putra
22,"Nova Widianto, Liliyana Natsir",Olimpiade Beijing 2008,Perak,Bulu Tangkis,Ganda Campuran
23,Maria Kristin Yulianti,Olimpiade Beijing 2008,Perunggu,Bulu Tangkis,Tunggal Putri
24,Eko Yuli Irawan,Olimpiade Beijing 2008,Perunggu,Angkat Besi,56 kg Putra
25,Triyatno,Olimpiade Beijing 2008,Perunggu,Angkat Besi,62 kg Putra
26,Raema Lisa Rumbewas,Olimpiade Beijing 2008,Perunggu,Angkat Besi,53 kg Putri
27,Triyatno,Olimpiade London 2012,Perak,Angkat Besi,69 kg Putra
28,Citra Febrianti,Olimpiade London 2012,Perak,Angkat Besi,53 kg Putri
29,Eko Yuli Irawan,Olimpiade London 2012,Perunggu,Angkat Besi,62 kg Putra
30,"Tontowi Ahmad, Liliyana Natsir",Olimpiade Rio 2016,Emas,Bulu Tangkis,Ganda Campuran
31,Sri Wahyuni Agustiani,Olimpiade Rio 2016,Perak,Angkat Besi,48 kg Putri
32,Eko Yuli Irawan,Olimpiade Rio 2016,Perak,Angkat Besi,62 kg Putri
33,"Greysia Polii, Apriyani Rahayu",Olimpiade Tokyo 2020,Emas,Bulu Tangkis,Ganda Putri
34,Eko Yuli Irawan,Olimpiade Tokyo 2020,Perak,Angkat Besi,61 kg Putra
35,Windy Cantika Aisah,Olimpiade Tokyo 2020,Perunggu,Angkat Besi,48 kg Putri
36,Rahmat Erwin Abdullah,Olimpiade Tokyo 2020,Perunggu,Angkat Besi,73 kg Putra
37,Anthony Sinisuka Ginting,Olimpiade Tokyo 2020,Perunggu,Bulu Tangkis,Tunggal Putra
38,Veddriq Leonardo,Olimpiade Paris 2024,Emas,Panjat Tebing,Speed Putra
39,Rizki Juniansyah,Olimpiade Paris 2024,Emas,Angkat Besi,73 kg Putra
40,Gregoria,Mariska Tunjung,Olimpiade Paris 2024,Bulu Tangkis,Tunggal Putri
