Position,Club,Played,Won,Draw,Lose,GF,GA,GD,Poin,Note
1,Persija (Jakarta),34,18,8,8,53,36,17,62,Champions
2,PSM (Makassar),34,17,10,7,57,42,15,,
3,Bhayangkara FC (Jakarta Timur),34,15,8,11,41,39,2,,[C] Winner of the previous edition [*1] Bhayangkara relocated from Bekasi to Jakarta Timur but play matches in Sidoarjo until the renovation of the stadium in Jakarta Timur is completed
4,Persib (Bandung),34,14,10,10,49,41,8,,
5,Persebaya (Surabaya),34,14,8,12,60,48,12,,[P] Promotion
6,Arema FC (Malang),34,14,8,12,53,42,11,,
7,Borneo FC (Samarinda),34,14,6,14,50,49,1,,
8,Madura United FC (Pamekasan),34,13,9,12,47,50,-3,,
9,PS Barito Putera (Banjarmasin),34,12,11,11,52,55,-3,,
10,PSIS (Semarang),34,13,7,14,39,42,-3,,[P] Promotion
11,Bali United FC (Gianyar),34,12,9,13,44,48,-4,,
12,Persipura (Jayapura),34,12,8,14,49,46,3,,
13,Persela (Lamongan),34,11,10,13,53,52,1,,
14,Perseru (Serui),34,11,9,14,34,41,-7,,
15,PS.TIRA (Bantul),34,12,6,16,48,57,-9,,[*2] Army side PS.TNI were renamed PS.TIRA and relocated to Bantul
16,Mitra Kukar (Kutai Kartanegara),34,12,3,19,45,58,-13,,
17,Sriwijaya FC (Palembang),34,11,6,17,48,56,-8,,
18,PSMS (Medan),34,11,4,19,50,70,-20,,[P] Promotion
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Final Table:,,,,,,,,,,
