Position,Club,Played,Won,Draw,Lose,GF,GA,GD,Poin,Note
1,Persib (Bandung),17,8,5,4,26,16,10,29,
2,PS Barito Putera (Banjarmasin),17,8,4,5,30,25,5,28,
3,PSM (Makassar),17,8,4,5,24,22,2,28,
4,Madura United FC (Pamekasan),17,7,5,5,24,24,0,26,
5,Bhayangkara FC (Jakarta Timur),17,7,5,5,23,23,0,26,[C] Winner of the previous edition [*1] Bhayangkara relocated from Bekasi to Jakarta Timur but play matches in Sidoarjo until the renovation of the stadium in Jakarta Timur is completed
6,Persija (Jakarta),17,7,4,6,27,21,6,25,
7,Borneo FC (Samarinda),17,7,4,6,25,23,2,25,
8,Persela (Lamongan),17,6,6,5,26,22,4,24,
9,Persipura (Jayapura),17,6,6,5,24,20,4,24,
10,Arema FC (Malang),17,6,5,6,24,20,4,23,
11,Sriwijaya FC (Palembang),17,6,5,6,28,26,2,23,
12,Bali United FC (Gianyar),17,6,5,6,21,19,2,23,
13,Persebaya (Surabaya),17,5,7,5,25,23,2,22,[P] Promotion
14,Mitra Kukar (Kutai Kartanegara),17,6,2,9,23,27,-4,20,
15,PSIS (Semarang),17,5,4,8,16,22,-6,19,[P] Promotion
16,Perseru (Serui),17,5,4,8,9,16,-7,19,
17,PSMS (Medan),17,6,0,11,20,31,-11,18,[P] Promotion
18,PS.TIRA (Bantul),17,5,3,9,23,38,-15,18,[*2] Army side PS.TNI were renamed PS.TIRA and relocated to Bantul
