Position,Club,Played,Won,Draw,Lose,GF,GA,GD,Poin,Note
1,Bali United FC (Gianyar),17,10,2,5,32,18,14,32,
2,Madura United FC (Pamekasan),17,9,5,3,30,17,13,32,
3,Persipura (Jayapura),17,9,4,4,30,21,9,31,[C]
4,Bhayangkara FC (Bekasi),17,10,0,7,27,22,5,30,[*3]
5,Persija (Jakarta),17,7,7,3,18,9,9,28,
6,PSM (Makassar),17,8,4,5,24,19,5,28,
7,Arema FC (Malang),17,7,5,5,15,16,-1,26,[*1]
8,PS. TNI (Pakansari),17,7,4,6,27,30,-3,25,[*4]
9,Mitra Kukar (Kutai Kartanegara),17,7,4,6,26,32,-6,25,
10,Persela (Lamongan),17,7,3,7,26,22,4,24,
11,Borneo FC (Samarinda),17,7,3,7,23,19,4,24,[*2]
12,PS Barito Putera (Banjarmasin),17,7,3,7,22,24,-2,24,
13,Semen Padang,17,6,4,7,15,21,-6,22,
14,Sriwijaya FC (Palembang),17,5,6,6,21,21,0,21,
15,Persib (Bandung),17,5,6,6,16,18,-2,21,
16,Perseru (Serui),17,3,6,8,11,21,-10,15,
17,Persiba (Balikpapan),17,1,4,12,14,29,-15,7,
18,Gresik United FC,17,1,4,12,15,33,-18,7,
