Musim,Pekan,Tanggal,Tim 1,Tim 2,Skor Tim 1,Skor Tim 2
2022,1,14/03/2022,UNTAG ROSITA,BINTANG TIMUR,1,0
2022,1,15/03/2022,PUTRA SURABAYA,ANAK BANGSA,1,4
2022,1,16/03/2022,AL RAYYAN,PELINDO,0,1
2022,1,17/03/2022,H.B.S,HAGGANA,0,1
2022,1,21/03/2022,EL FAZA,PUTRA MARS,1,1
2022,1,22/03/2022,FATAHILLAH 354,SEMUT HITAM,4,1
2022,1,23/03/2022,T.E.O,PS. BINTANG ANGKASA,1,0
2022,1,24/03/2022,POLDA JATIM,MAESA,0,9
2022,1,28/03/2022,FARFAZA FC,SASANA BHAKTI,2,1
2022,1,29/03/2022,INDONESIA MUDA,PS. ANGKATAN LAUT,0,1
2022,2,15/05/2022,PS. ANGKATAN LAUT,ANAK BANGSA,3,0
2022,2,17/05/2022,UNTAG ROSITA,INDONESIA MUDA,0,1
2022,2,18/05/2022,H.B.S,BINTANG TIMUR,0,0
2022,2,19/05/2022,PUTRA SURABAYA,AL RAYYAN,1,1
2022,2,23/05/2022,HAGGANA,PELINDO,3,0
2022,2,24/05/2022,MAESA,T.E.O,2,3
2022,2,25/05/2022,PUTRA MARS,PS. BINTANG ANGKASA,1,0
2022,2,30/05/2022,FARFAZA FC,SEMUT HITAM,10,0
2022,2,31/05/2022,SASANA BHAKTI,POLDA JATIM,10,0
2022,2,01/06/2022,FATAHILLAH 354,EL FAZA,1,1
2022,3,02/06/2022,PS. ANGKATAN LAUT,PUTRA SURABAYA,4,0
2022,3,02/06/2022,INDONESIA MUDA,BINTANG TIMUR,1,2
2022,3,06/06/2022,AL RAYYAN,HAGGANA,1,3
2022,3,07/06/2022,PUTRA MARS,T.E.O,2,0
2022,3,08/06/2022,UNTAG ROSITA,H.B.S,3,0
2022,3,08/06/2022,EL FAZA,SEMUT HITAM,2,0
2022,3,09/06/2022,MAESA,SASANA BHAKTI,1,3
2022,3,09/06/2022,FATAHILLAH 354,FARFAZA FC,5,1
2022,3,13/06/2022,AL RAYYAN,PS. ANGKATAN LAUT,0,2
2022,3,14/06/2022,H.B.S,PUTRA SURABAYA,2,0
