Season,Round,Date,Tim 1,Tim 2,Skor Tim 1,Skor Tim 2,Note
2017,1,15/04/2017,PS Barito Putera,Mitra Kukar,2,1,
2017,1,15/04/2017,Persib Bandung,Arema FC,0,0,
2017,1,16/04/2017,Persiba Balikpapan,Persija Jakarta,0,2,
2017,1,16/04/2017,Madura United FC,Bali United FC,2,0,
2017,1,16/04/2017,PSM Makassar,Persela Lamongan,3,1,
2017,1,17/04/2017,Semen Padang,Sriwijaya FC,1,1,
2017,1,17/04/2017,Borneo FC,PS. TNI,2,2,
2017,1,18/04/2017,Persipura Jayapura,Gresik United FC,1,1,
2017,1,20/04/2017,Bhayangkara FC,Perseru Serui,2,1,
2017,2,21/04/2017,Gresik United FC,Semen Padang,1,3,
2017,2,21/04/2017,Persela Lamongan,Madura United FC,2,0,
2017,2,22/04/2017,Sriwijaya FC,Borneo FC,1,0,
2017,2,22/04/2017,Persija Jakarta,PS Barito Putera,1,1,
2017,2,22/04/2017,PS. TNI,Persib Bandung,2,2,
2017,2,23/04/2017,Bali United FC,Persipura Jayapura,1,2,
2017,2,23/04/2017,Arema FC,Bhayangkara FC,2,0,
2017,2,24/04/2017,Mitra Kukar,PSM Makassar,1,1,
2017,2,24/04/2017,Perseru Serui,Persiba Balikpapan,2,1,
2017,3,28/04/2017,Madura United FC,Mitra Kukar,2,2,
2017,3,28/04/2017,Semen Padang,Persipura Jayapura,1,0,
2017,3,29/04/2017,Bhayangkara FC,PS. TNI,1,2,
2017,3,29/04/2017,Persib Bandung,Sriwijaya FC,2,0,
2017,3,29/04/2017,Borneo FC,Gresik United FC,3,0,
2017,3,30/04/2017,Persela Lamongan,Bali United FC,0,1,
2017,3,30/04/2017,PS Barito Putera,Perseru Serui,2,0,
2017,3,30/04/2017,PSM Makassar,Persija Jakarta,1,0,
2017,3,01/05/2017,Persiba Balikpapan,Arema FC,0,1,
2017,4,02/05/2017,Persipura Jayapura,Borneo FC,2,1,
2017,4,03/05/2017,Mitra Kukar,Persela Lamongan,3,2,
2017,4,03/05/2017,Gresik United FC,Persib Bandung,0,1,
2017,4,03/05/2017,Sriwijaya FC,Bhayangkara FC,1,2,
2017,4,04/05/2017,Perseru Serui,PSM Makassar,1,2,
2017,4,04/05/2017,Bali United FC,Semen Padang,2,0,
2017,4,04/05/2017,Persija Jakarta,Madura United FC,0,1,
2017,4,05/05/2017,PS. TNI,Persiba Balikpapan,1,1,
2017,4,05/05/2017,Arema FC,PS Barito Putera,1,0,
2017,5,07/05/2017,Bhayangkara FC,Gresik United FC,2,1,
2017,5,07/05/2017,Persib Bandung,Persipura Jayapura,1,0,
2017,5,08/05/2017,Borneo FC,Semen Padang,1,0,
2017,5,08/05/2017,Madura United FC,Perseru Serui,1,1,
2017,5,09/05/2017,PS Barito Putera,PS. TNI,0,1,
2017,5,09/05/2017,Persiba Balikpapan,Sriwijaya FC,0,2,
2017,5,10/05/2017,Persela Lamongan,Persija Jakarta,1,0,
2017,5,10/05/2017,Mitra Kukar,Bali United FC,2,1,
2017,5,10/05/2017,PSM Makassar,Arema FC,1,0,
2017,6,12/05/2017,Persipura Jayapura,Bhayangkara FC,3,2,
2017,6,12/05/2017,Gresik United FC,Persiba Balikpapan,2,1,
2017,6,13/05/2017,Perseru Serui,Persela Lamongan,0,0,
