,1962,1974,1986,1988,1990,1992,1998,2006,2008,2010,2012,2013,2015,2017,2019,2021,2023
PANTAI GADING,,,,,,,,Kolo dan Yaya Touré,Kolo dan Yaya Touré,Kolo dan Yaya Touré,Kolo dan Yaya Touré,Kolo dan Yaya Touré,Kolo dan Yaya Touré,,,,
GHANA,,,,,,,,,,,André dan Jordan Ayew,,André dan Jordan Ayew,André dan Jordan Ayew,André dan Jordan Ayew,André dan Jordan Ayew,André dan Jordan Ayew
KAMERUN,,,,André Kana Biyik dan François Omam Biyik,André Kana Biyik dan François Omam Biyik,André Kana Biyik dan François Omam Biyik,,,,,,,,,,,
MESIR,,,Hossam dan Ibrahim Hassan,,,,Hossam dan Ibrahim Hassan,,,,,,,,,,
BURKINA FASO,,,,,,,,,,,,,Alain dan Traoré,Alain dan Traoré,,,
MALI,,,,,,,,,,,,,Sambou dan Mustapha Yatabaré,Sambou dan Mustapha Yatabaré,,,
ZAMBIA,,,,,,,,,,,Christopher dan Felix Katongo,Christopher dan Felix Katongo,,,,,
ETHIOPIA,Italo dan Luciano Vassalo,,,,,,,,,,,,,,,,
MAURITANIA,,,,,,,,,,,,,,,,,"Nouh Mohamed El Abd, Sidi Ahmed Mohamed El Abd, Lamine Ba dan El Hadji Ba"
DEMOCRATIC REPBULIC CONGO,,Albert Bwanga dan Robert Kazadi,,,,,,,,,,,,,,,
