,Nation,Goal/Own Goal,Assists,Red Cards,Yellow Cards,Corners Won,Shots,Shots on Target,Blocked Shots,Passes,Crosses,Tackles,Offsides,Foul Conceded,Fouls Won
R. Ridho,Indonesia,0,0,0,0,0,0,0,0,29,0,4,0,0,0
A. Mangkualam,Indonesia,0,0,0,0,0,0,0,0,16,0,0,0,1,0
E. Baggott,Indonesia,0,0,0,1,0,0,0,0,21,0,1,0,2,0
E. Ari,Indonesia,0,0,0,0,0,0,0,0,32,0,0,0,0,0
P. Arhan,Indonesia,0,0,0,0,0,0,0,0,21,2,2,0,1,1
M. Ferdinan,Indonesia,1,0,0,0,0,3,1,0,20,0,7,0,2,1
J. Amat,Indonesia,0,0,0,0,0,0,0,0,28,0,1,0,0,0
I. Jenner,Indonesia,0,0,0,0,0,0,0,0,32,0,3,0,0,1
Y. Sayuri,Indonesia,0,1,0,0,1,3,0,2,23,0,1,0,2,0
R. Struick,Indonesia,0,0,0,0,1,2,0,0,12,1,0,0,1,0
J. Hubner,Indonesia,0,0,0,0,0,0,0,0,31,1,2,0,1,1
W. Sulaeman,Indonesia,0,0,0,0,1,0,0,0,12,2,0,1,1,0
D. Drajad,Indonesia,0,0,0,0,0,0,0,0,4,0,2,0,0,0
M. Klok,Indonesia,0,0,0,1,1,0,0,0,13,2,1,0,1,0
R. Kambuaya,Indonesia,0,0,0,0,0,0,0,0,12,1,0,0,1,0
S. Walsh,Indonesia,0,0,0,0,0,0,0,0,8,0,1,0,0,0
Zidane Iqbal,Irak,0,0,0,0,0,0,0,0,31,0,1,0,0,1
Suad Natiq,Irak,0,0,0,0,0,0,0,0,113,0,1,0,0,0
Ali Adnan,Irak,0,0,0,0,0,0,0,0,85,4,0,0,0,1
Mohanad Ali,Irak,1,0,0,0,1,4,2,0,9,0,1,2,1,0
Jalal Hassan,Irak,0,0,0,0,0,0,0,0,40,0,0,0,0,0
Osama Rashid,Irak,1,0,0,0,0,3,1,1,37,0,0,0,0,0
Amir Al Ammari,Irak,0,0,0,0,0,1,0,0,62,0,4,0,1,0
Merchas Doski,Irak,0,0,0,0,0,0,0,0,56,2,3,0,1,3
Ibraheem Bayesh,Irak,0,0,0,0,1,0,0,0,40,4,1,1,1,4
Hussein Ali Haidar,Irak,0,0,0,0,1,0,0,0,32,8,0,0,0,2
Ali Jasim,Irak,0,0,0,0,1,4,1,0,42,5,2,0,0,1
Aymen Hussein,Irak,1,0,0,0,0,2,1,1,11,0,1,0,0,0
Bashar Rasan,Irak,0,0,0,0,0,0,0,0,15,1,0,1,0,1
Youssef Amyn,Irak,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Rebin Solaka,Irak,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Frans Putros,Irak,0,0,0,0,0,0,0,0,6,0,1,0,0,0
Total,,4,1,0,2,8,23,6,4,906,33,40,5,17,17
