,Nation,Goal/Own Goal,Assists,Red Cards,Yellow Cards,Corners Won,Shots,Shots on Target,Blocked Shots,Passes,Crosses,Tackles,Offsides,Foul Conceded,Fouls Won
T. Kubo,Jepang,0,0,0,0,0,2,0,1,50,5,1,1,2,2
T. Tomiyasu,Jepang,0,0,0,0,0,0,0,0,98,0,1,0,0,1
Y. Nakayama,Jepang,0,0,0,0,2,0,0,0,72,3,0,0,4,0
W. Endo,Jepang,0,0,0,1,0,0,0,0,77,0,1,0,3,0
K. Machida,Jepang,0,0,0,0,0,1,0,0,98,0,2,0,1,0
Z. Suzuki,Jepang,0,0,0,0,0,0,0,0,25,0,0,0,0,1
K. Nakamura,Jepang,0,0,0,0,0,2,0,1,26,1,0,1,0,0
R. Hatate,Jepang,0,0,0,0,0,1,0,0,52,2,1,0,1,2
A. Ueda,Jepang,2,0,0,0,2,5,2,1,27,0,0,0,1,2
S. Maikuma,Jepang,0,0,0,0,0,0,0,0,61,0,2,0,0,3
R. Doan,Jepang,0,1,0,0,0,3,0,1,35,1,1,0,1,1
D. Maeda,Jepang,0,0,0,0,0,0,0,0,9,1,0,0,0,0
T. Minamino,Jepang,0,0,0,1,0,0,0,0,6,0,2,0,1,0
K. Sano,Jepang,0,0,0,0,0,0,0,0,6,0,1,0,1,1
T. Watanabe,Jepang,0,0,0,0,0,0,0,0,20,0,0,0,0,0
J. Ito,Jepang,0,0,0,0,0,0,0,0,3,0,0,0,0,0
R. Struick,Indonesia,0,0,0,1,0,0,0,0,10,0,0,1,4,4
S. Walsh,Indonesia,1,0,0,0,0,1,1,0,20,0,0,0,1,0
J. Amat,Indonesia,0,0,0,1,0,0,0,0,39,0,2,0,1,1
I. Jenner,Indonesia,0,0,0,0,0,0,0,0,24,0,6,0,0,2
E. Maulana Vikri,Indonesia,0,0,0,0,0,0,0,0,9,0,0,0,0,5
Ernando Ari Sutaryadi,Indonesia,0,0,0,0,0,0,0,0,34,0,0,0,0,0
Y. Sayuri,Indonesia,0,0,0,0,0,0,0,0,2,0,0,1,1,0
M. Ferdinan,Indonesia,0,0,0,0,1,1,0,0,26,1,6,0,1,1
R. Ridho,Indonesia,0,0,0,0,0,1,0,1,37,0,1,0,0,0
J. Hubner,Indonesia,1,0,0,1,0,0,0,0,34,1,1,0,1,0
P. Arhan,Indonesia,0,0,0,0,0,0,0,0,16,0,2,0,2,1
W. Sulaeman,Indonesia,0,0,0,0,0,0,0,0,11,0,2,0,0,1
E. Baggott,Indonesia,0,0,0,0,0,0,0,0,5,0,0,0,2,0
R. Kambuaya,Indonesia,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Total,,4,1,0,5,5,17,3,5,934,15,33,4,28,28
