,Nation,Goal/Own Goal,Assists,Red Cards,Yellow Cards,Corners Won,Shots,Shots on Target,Blocked Shots,Passes,Crosses,Tackles,Offsides,Foul Conceded,Fouls Won
Nguyễn Văn Tùng,Vietnam,0,0,0,0,1,0,0,0,20,1,0,0,1,4
Nguyễn Tuấn Anh,Vietnam,0,0,0,0,1,2,0,0,55,2,1,0,2,2
Nguyễn Thái Sơn,Vietnam,0,0,0,0,0,0,0,0,36,0,3,0,1,1
Bùi Hoàng Việt Anh,Vietnam,0,0,0,0,0,1,0,0,59,0,2,0,0,0
Phan Tuấn Tài,Vietnam,0,0,0,0,0,1,0,0,56,1,1,0,0,1
Võ Minh Trọng,Vietnam,0,0,0,0,0,1,0,0,48,4,4,0,0,1
F. Nguyễn,Vietnam,0,0,0,0,0,0,0,0,34,0,0,0,0,0
Phạm Tuấn Hải,Vietnam,0,0,0,0,0,0,0,0,14,0,0,1,0,5
Nguyễn Quang Hải,Vietnam,0,0,0,0,0,0,0,0,29,0,2,0,0,2
Phạm Xuân Mạnh,Vietnam,0,0,0,0,0,1,1,0,26,1,2,0,0,1
Nguyễn Thanh Bình,Vietnam,0,0,0,0,0,1,0,0,61,0,2,0,2,2
Khuất Văn Khang,Vietnam,0,0,0,0,1,3,1,1,12,2,1,0,0,2
Lê Phạm Thành Long,Vietnam,0,0,1,2,1,0,0,0,30,1,0,0,2,0
Nguyễn Văn Toàn,Vietnam,0,0,0,0,0,0,0,0,4,0,1,0,0,0
Nguyễn Văn Trường,Vietnam,0,0,0,0,1,0,0,0,2,0,0,0,0,2
Vũ Văn Thanh,Vietnam,0,0,0,0,1,1,1,0,0,3,0,0,0,0
J. Amat,Indonesia,0,0,0,0,0,0,0,0,33,0,1,0,1,0
S. Walsh,Indonesia,0,0,0,0,1,3,2,0,40,0,1,0,4,1
I. Jenner,Indonesia,0,0,0,0,0,1,0,0,32,0,1,0,3,1
R. Struick,Indonesia,0,0,0,0,0,3,1,0,15,0,0,1,1,1
P. Arhan,Indonesia,0,0,0,1,0,0,0,0,25,2,3,0,1,0
J. Hubner,Indonesia,0,0,0,0,0,1,0,1,50,5,1,0,5,0
Y. Sayuri,Indonesia,0,0,0,1,0,0,0,0,28,2,1,1,2,1
A. Mangkualam,Indonesia,1,0,0,0,0,1,1,0,18,0,0,0,1,0
E. Maulana Vikri,Indonesia,0,0,0,0,0,1,0,1,23,1,0,0,0,0
E. Ari,Indonesia,0,0,0,0,0,0,0,0,23,0,0,0,0,0
M. Ferdinan,Indonesia,0,0,0,0,2,2,0,0,41,2,3,0,2,3
W. Sulaeman,Indonesia,0,0,0,0,0,0,0,0,10,0,0,0,1,1
H. Caraka,Indonesia,0,0,0,0,1,2,1,0,7,0,0,0,2,0
A. Alis,Indonesia,0,0,0,0,0,1,0,0,10,0,1,0,1,0
R. Ridho,Indonesia,0,0,0,0,0,1,0,0,7,0,0,0,0,0
Total,,1,0,1,4,10,27,8,3,848,27,31,3,32,31
